id,slug,icon,sort_order,name,created_at
0a18636c-6cdc-48bf-b8ed-f5e90c9e20b9,santehnika-1772804932598,💧,9,"{""en"":""Plumbing"",""kz"":""Сантехника"",""ru"":""Сантехника"",""tk"":""Santehnika"",""uz"":""Santexnika""}",2026-03-06 13:48:52.308364+00
0fd5c67e-0c4d-48e3-a9ab-15d5f3d19a73,elektromontazh-1772804933714,💡,11,"{""en"":""Electrical Installation"",""kz"":""Электр монтаждау"",""ru"":""Электромонтаж"",""tk"":""Elektromontaj"",""uz"":""Elektromontaj""}",2026-03-06 13:48:53.418201+00
23f246fa-c1de-4170-b453-aa43142957f5,pokraska-1772804942166,🎨,31,"{""en"":""Painting"",""kz"":""Бояу"",""ru"":""Покраска"",""tk"":""Boýamak"",""uz"":""Boʻyash""}",2026-03-06 13:49:01.855603+00
27ee020c-339c-48bc-890a-2b66b4fedb5a,dveri-1772804936581,🚪,17,"{""en"":""Doors"",""kz"":""Есіктер"",""ru"":""Двери"",""tk"":""Gapylar"",""uz"":""Eshiklar""}",2026-03-06 13:48:56.273253+00
2a510505-b3de-418c-a9d5-1850b3e7d08f,elektricheskie-teplye-poly-1772804937018,🔥,18,"{""en"":""Electric Heated Floors"",""kz"":""Электр жылы едендер"",""ru"":""Электрические теплые полы"",""tk"":""Elektrik ýyly pollar"",""uz"":""Elektr issiq pollar""}",2026-03-06 13:48:56.708589+00
324f54db-7f22-496f-bfbf-14792157988e,styazhka-1772804935467,📏,15,"{""en"":""Screed"",""kz"":""Қабат"",""ru"":""Стяжка"",""tk"":""Doldurgyç"",""uz"":""Qopqoq""}",2026-03-06 13:48:55.16159+00
330b1830-b91a-4617-89d4-390bd85afb49,kladka-sten-1772804930066,🧱,4,"{""en"":""Wall Masonry"",""kz"":""Қабырға құрылысы"",""ru"":""Кладка стен"",""tk"":""Diwar ýasamak"",""uz"":""Devor qurish""}",2026-03-06 13:48:49.753072+00
41175684-59d4-42c8-99b3-675d115f3555,plintus-1772804941361,➖,29,"{""en"":""Baseboard"",""kz"":""Плинтус"",""ru"":""Плинтус"",""tk"":""Plintus"",""uz"":""Plintus""}",2026-03-06 13:49:01.051295+00
4476e2ae-3954-463f-a08d-d59de36ae009,napol-nye-pokrytiya-1772804940224,🪵,26,"{""en"":""Flooring"",""kz"":""Еден жабындары"",""ru"":""Напольные покрытия"",""tk"":""Pol örtükleri"",""uz"":""Pol qoplamalari""}",2026-03-06 13:48:59.898724+00
4bdb3879-27cf-42a5-8778-cd9571178fd3,teploizolyatsiya-1772804931757,🌡️,7,"{""en"":""Thermal Insulation"",""kz"":""Жылу оқшаулау"",""ru"":""Теплоизоляция"",""tk"":""Ýylylyk izolýasiýasy"",""uz"":""Issiqlik izolyatsiyasi""}",2026-03-06 13:48:51.446039+00
549c362a-bbde-43a0-98dc-d671418ce57c,mebel-1772804941734,🪑,30,"{""en"":""Furniture"",""kz"":""Мебель"",""ru"":""Мебель"",""tk"":""Mebel"",""uz"":""Mebel""}",2026-03-06 13:49:01.426244+00
5c79f067-69f4-4c76-a665-7e00d0e2efb5,gipsovaya-lepnina-i-paneli-1772804939820,🖼️,25,"{""en"":""Gypsum Molding & Panels"",""kz"":""Гипс декор және панельдер"",""ru"":""Гипсовая лепнина и панели"",""tk"":""Gips dekoratiw we paneller"",""uz"":""Gipsli dekor va panellar""}",2026-03-06 13:48:59.521341+00
5f274b6c-d42e-42c3-9220-ff94829a191c,uborka-1772804942566,✨,32,"{""en"":""Cleaning"",""kz"":""Тазалау"",""ru"":""Уборка"",""tk"":""Arassalamak"",""uz"":""Tozalash""}",2026-03-06 13:49:02.266517+00
